request,dns_time,connect_time,first_byte_time,total_time,http_status
1,0.002,0.012,0.038,0.043,200
2,0.002,0.012,0.039,0.044,200
3,0.002,0.012,0.04,0.045,200
4,0.002,0.012,0.041,0.046,200
5,0.002,0.012,0.041999999999999996,0.047,200
6,0.002,0.012,0.043,0.047999999999999994,200
7,0.002,0.012,0.044,0.048999999999999995,200
8,0.002,0.012,0.038,0.043,200
9,0.002,0.012,0.039,0.044,200
10,0.002,0.012,0.04,0.045,200
11,0.002,0.012,0.041,0.046,200
12,0.002,0.012,0.041999999999999996,0.047,200
13,0.002,0.012,0.043,0.047999999999999994,200
14,0.002,0.012,0.044,0.048999999999999995,200
15,0.002,0.012,0.038,0.043,200
16,0.002,0.012,0.039,0.044,200
17,0.002,0.012,0.04,0.045,200
18,0.002,0.012,0.041,0.046,200
19,0.002,0.012,0.041999999999999996,0.047,200
20,0.002,0.012,0.043,0.047999999999999994,200
21,0.002,0.012,0.044,0.048999999999999995,200
22,0.002,0.012,0.038,0.043,200
23,0.002,0.012,0.039,0.044,200
24,0.002,0.012,0.04,0.045,200
25,0.002,0.012,0.041,0.046,200
26,0.002,0.012,0.041999999999999996,0.047,200
27,0.002,0.012,0.043,0.047999999999999994,200
28,0.002,0.012,0.044,0.048999999999999995,200
29,0.002,0.012,0.038,0.043,200
30,0.002,0.012,0.039,0.044,200
